smiles,d,FEPA,FEHA,b_idx,n_idx
B(C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1)(C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1)C1(CCC)CCC1(c8ccc(C(F)(F)F)cc8)N(c4ccccc4)(c4ccccc4),3.935383648,-196.2892425,-105.8631084,0,56
B(c1cc(F)cc(Cl)c1)(c1cc(F)cc(Cl)c1)c1snc(Cl)n1,2.59345859,-192.6412299,-120.5521383,0,22
B(c1ccc(C)s1)(c1ccc(C)s1)C4(c7ccc(N(C)C)cc7)C1c2ccccc2C(c3ccccc13)C4(c8c(C)cc(C)cc8(C))N(c6ccc(OC)cc6)(c6ccc(OC)cc6),3.007057357,-223.5241507,-78.00970877,0,47
B1(cc1)c1c(c8ccc(C(F)(F)F)cc8)nnN1(CCCCC),2.595595933,-157.8289096,-79.67757,0,17
B(C=CC(C)(C)C)(C=CC(C)(C)C)c1nc(C(F)(F)F)sn1,2.560771204,-196.4925214,-87.25198484,0,21
B(c1ccccc1)(c1ccccc1)c1nc(CCC)sn1,2.556596568,-210.1436731,-86.58131758,0,20
B(c1c(F)ccc(F)c1(F))(c1c(F)ccc(F)c1(F))c1c(c8ccc([N+](=O)([O-]))cc8)cnc(c8ccc([N+](=O)([O-]))cc8)n1,2.572716733,-198.7586873,-126.6042048,0,42
B(c1c(F)c(F)c(C(F)(F)F)c(F)c1(F))(c1c(F)c(F)c(C(F)(F)F)c(F)c1(F))C1C(NC)N=NN1,2.646508509,-167.7260183,-136.573057,0,35
B(C1CCCC1)(C1CCCC1)c2c(c8c(C)cc(C)cc8(C))ccc(c23)ccc(c13)ccc(S(=[O])(=[O])[O]CC)c1N(c4ccc([N+](=O)([O-]))cc4)(c4ccc([N+](=O)([O-]))cc4),2.988338592,-179.1342885,-86.35476974,0,40
B(c1ccc(C)cc1)(c1ccc(C)cc1)c1onc(Cl)n1,2.59892669,-201.0411058,-99.31958296,0,20
B(c1c(F)c(F)c(Cl)c(F)c1(F))(c1c(F)c(F)c(Cl)c(F)c1(F))c1c(c8ccc(C)cc8)Nc(CCCC)n1,2.592360635,-218.2478552,-108.9220006,0,38
B(OC)(OC)c1c(Cl)cccc1C(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)N1(C(C(=O)[OH])CCCC1),3.919737926,-193.518162,-69.78002985,0,26
B(c1c(N(C)C)cccc1(N(C)C))(c1c(N(C)C)cccc1(N(C)C))C1C(C(C)(C)C)CC(c7ccc(N(C)C)cc7)CN1,2.395698808,-241.7480119,-56.19022844,0,43
B1(C2CCC1CCC2)N2C(OC)CN(CC1(c6c(OC)cccc6(OC)))C2=N1,3.211208198,-238.0934843,-68.77760101,0,27
B(c1c(F)c(Cl)c(F)c(Cl)c1(F))(c1c(F)c(Cl)c(F)c(Cl)c1(F))N2C(NC)CCN(CCC1(c8ccc(C)cc8))C2=N1,2.881465393,-226.8653735,-93.50055658,0,41
B(c1c(Cl)cc(F)cc1(Cl))(c1c(Cl)cc(F)cc1(Cl))c1snc([O][H])n1,2.618295155,-195.8244192,-117.3759889,0,24
B(C=C(C(=O)OC))(C=C(C(=O)OC))c1c(Br)cccc1N=C(NC)N1(COCC1),2.808963207,-219.3034915,-101.3810857,0,20
B(OC)(OC)N2C(c8ccc(C(F)(F)F)cc8)CN(CCC1([O][H]))C2=N1,2.964262203,-229.2538864,-56.74908183,0,24
B(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C1C(c8ccc(C(F)(F)F)cc8)Cc2cccc(c8c(C)cc(C)cc8(C))c2N1,2.597187221,-181.7484268,-153.5412323,0,43
B(c1c(F)cc(Cl)cc1(F))(c1c(F)cc(Cl)cc1(F))C1C(c8c(F)cc(F)cc8(F))CC2CCCC(C(C)(C)C)N12,2.783608812,-222.3707321,-101.045476,0,40
B(c1c(F)cccc1)(c1c(F)cccc1)c1c([H])cccc1N=C(OC)n1(c2ncccc2cc1),2.967376063,-216.4201911,-88.71080195,0,21
